Status,Vehicle Type,Year,Make,Model/Trim,VIN,Odometer,Stock #,Accident/Damage Status,Owner Count Status,Owner Type Status,Service Records,Open Recalls,New Data Records,Run Pre-acquisition,Highest Damage Severity,Dealer Price,MSRP,History-Based Value,Value Badge,Price Increase Opportunity,Price Drop to Next Badge,Price Drop to Great Badge,Photos,Days on CARFAX,VDP Views,Followers,Email Leads,Website Clicks,Shared by Phone,Shared by Email,Map Clicks
ACTIVE,USED,2007,Chrysler,PT Cruiser Base,3A4FY48BX7T620815,"39,648",HU5182,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,11,0,0,Y,-,"$6,750",-,"$6,690",Fair,-,$60,$847,24,40,135,8,1,1,0,0,0
ACTIVE,USED,2024,Hyundai,Kona N Line,KM8HACA31RU089668,"30,274",H7388A,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,9,0,0,Y,-,"$24,726",-,"$24,650",Fair,-,$76,$943,41,50,4,0,0,0,0,0,0
ACTIVE,USED,2024,Hyundai,Santa Cruz Limited,5NTJEDDF9RH105357,"24,712",H7213B,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,8,0,0,Y,-,"$32,983",-,"$32,890",Fair,-,$93,"$1,251",26,56,6,1,0,0,0,0,0
ACTIVE,USED,2024,Hyundai,Elantra SEL,KMHLM4DG1RU837695,"17,801",H7267A,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,4,0,0,Y,-,"$19,997",-,"$20,710",Good,-,$122,$122,44,69,6,1,0,0,0,0,0
ACTIVE,USED,2024,Hyundai,Sonata SEL,KMHL64JA2RA411932,"5,495",H6931,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,3,0,0,N,-,"$25,846",-,"$24,420",None,-,$164,"$2,404",36,167,15,2,0,0,0,0,0
ACTIVE,USED,2010,Hyundai,Sonata GLS,5NPET4AC2AH613836,"74,865",H7063A,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,28,0,0,Y,-,"$7,985",-,"$7,740",Fair,-,$245,$967,25,69,44,1,0,0,0,0,0
ACTIVE,USED,2022,Hyundai,Tucson Limited Edition,5NMJECAE6NH102024,"17,983",H7316A,No Accident or Damage Reported,2-Owner,Personal Use,6,1,0,Y,-,"$28,386",-,"$28,050",Fair,-,$336,"$1,446",78,72,10,0,1,0,0,0,0
ACTIVE,USED,2025,Hyundai,Tucson SE,3KMJACDE1SE015414,"6,150",H7114,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,3,0,0,Y,-,"$28,492",-,"$26,570",None,-,$474,"$2,876",44,86,4,0,0,0,0,0,0
ACTIVE,USED,2023,Hyundai,Palisade SEL,KM8R4DGE5PU520830,"44,957",H7301A,Minor Damage,CARFAX 1-Owner,Personal Use,9,2,0,Y,Minor,"$33,440",-,"$32,910",Fair,-,$530,"$1,624",62,94,19,1,0,0,0,0,0
ACTIVE,USED,2023,Hyundai,Kona Limited,KM8K53AG4PU179214,"4,570",HR142,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,4,0,0,Y,-,"$24,553",-,"$24,890",Good,-,$538,$538,39,171,8,0,0,0,0,0,0
ACTIVE,USED,2017,Toyota,RAV4 LE,2T3BFREV4HW569151,"98,506",H7231C,Minor Damage,2-Owner,Personal Use,28,1,1,Y,Minor,"$17,740",-,"$17,180",Fair,-,$560,"$1,478",29,11,4,0,0,0,0,0,0
ACTIVE,USED,2018,Jeep,Grand Cherokee Limited Edition,1C4RJFBGXJC119126,"70,210",HT7422A,Minor Damage,CARFAX 1-Owner,Personal Use,10,0,0,Y,Minor,"$19,612",-,"$19,020",Fair,-,$592,"$1,768",32,19,0,0,0,0,0,0,0
ACTIVE,USED,2023,Hyundai,Kona Limited,KM8K53AG2PU179163,"5,316",HR141,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,4,0,0,Y,-,"$24,544",-,"$24,820",Good,-,$597,$597,39,159,13,0,0,0,0,0,0
ACTIVE,USED,2022,Kia,Sorento SX Prestige X-Line,5XYRKDLF3NG146273,"41,505",H7364B,No Accident or Damage Reported,2-Owner,Personal Use,10,0,0,Y,-,"$29,723",-,"$30,430",Good,-,$607,$607,30,70,20,0,0,0,0,0,0
ACTIVE,USED,2024,Hyundai,Santa Cruz SEL,5NTJCDDE6RH119584,"9,183",H6909,Accident Reported,CARFAX 1-Owner,Corporate Use,2,0,0,Y,Moderate,"$29,252",-,"$27,550",None,-,$631,"$2,702",29,41,0,0,0,0,0,0,0
ACTIVE,USED,2022,Kia,Rio LX,3KPA24AD1NE452500,"36,959",H7355B,No Accident or Damage Reported,3+ Owners,Personal Use,7,0,0,-,-,"$14,987",-,"$14,350",Fair,-,$637,"$1,351",31,36,1,0,0,0,0,0,0
ACTIVE,USED,2017,Toyota,Camry SE,4T1BF1FK8HU775930,"50,861",H7085D,Accident Reported,2-Owner,Multiple Use,3,0,0,Y,Minor Moderate,"$18,754",-,"$17,040",None,-,$651,"$2,425",23,46,14,0,0,0,0,0,0
ACTIVE,USED,2024,Subaru,Forester Wilderness,JF2SKAJC0RH515226,"16,590",H7359A,No Accident or Damage Reported,2-Owner,Multiple Use,2,0,0,Y,-,"$31,709",-,"$31,910",Good,-,$755,$755,41,32,13,1,1,0,0,0,0
