Photo Thumbnail,Photo Count,Certified,Tags,Age,Red/Black,"Recall Status
Icon Small","Autowriter
Description",Vehicle,Body,Stock #,VIN,Odometer,Color,Interior,"Drivetrain
Type",Engine,Transmission,Cost,"Original
Cost","Adj Cost
To Market",MMR Wholesale,Water,Price,"Original
Price",WAS,Markup,Last $ Change,"Adjusted
% of Market",Overall,Like Mine,"Price Rank
Description",vRank Description,"AutoTrader.com
List Price","AutoTrader.com
Odometer","AutoTrader.com
Image Count","AutoTrader.com
SRP","AutoTrader.com
VDP","AutoTrader.com
% VDP","CarGurus
List Price","CarGurus
Odometer","CarGurus
Image Count","CarGurus
SRP","CarGurus
VDP","CarGurus
% VDP"
44,44,Yes,,11,Black,,Yes,2025 Hyundai Tucson SE,4D Sport Utility,H7114,3KMJACDE1SE015414,"6,150",White Pearl,Gray Cloth,AWD,2.5L I4 DGI DOHC 16V LEV3-SULEV30 187hp,8-Speed Automatic with SHIFTRONIC,"$30,526 ","$30,526 ",,"$22,600 ","$6,726 ","$28,492 ","$31,750 ","$32,570 ","($2,034)",12/30/2025,,49,,3 of 3,3 of 3,"$28,492 ","6,150",44,620,13,2.10%,"$28,492 ","6,150",44,,,
34,34,,,15,Black,,Yes,2025 Hyundai Elantra SE,4D Sedan,H7306,KMHLL4DG4SU093129,11,Fluid Metal,Gray Cloth,FWD,I4,CVT,"$21,295 ","$23,751 ",111%,"$19,050 ","$1,375 ","$19,998 ","$23,714 ",,"($1,297)",1/20/2026,105%,164,,7 of 9,7 of 9,"$19,998 ",11,34,"1,266",5,0.40%,"$19,998 ",11,34,,1,
29,29,,,17,Black,Open Recall,Yes,2017 Toyota RAV4 LE,4D Sport Utility,H7231C,2T3BFREV4HW569151,"98,506",Barcelona Red Metallic,Cloth,AWD,2.5L 4-Cylinder DOHC Dual VVT-i,6-Speed Automatic,"$13,890 ","$11,000 ",76%,"$13,250 ",($350),"$17,740 ","$17,870 ",,"$3,850 ",1/20/2026,98%,48,40,10 of 16,7 of 16,"$17,740 ","98,506",29,"1,117",10,0.90%,"$17,740 ","98,506",29,,11,
34,34,,,22,Black,,Yes,2001 Buick LeSabre Limited,4D Sedan,HU5161B,1G4HR54K31U169467,"73,264",Dark Bronzemist Metallic,Taupe Leather,FWD,3.8L V6 SFI Series II,4-Speed Automatic,"$6,170 ","$2,000 ",86%,"$1,075 ","$4,525 ","$8,625 ","$8,875 ",,"$2,455 ",1/20/2026,121%,60,60,6 of 7,6 of 7,"$8,625 ","73,264",34,"3,021",42,1.40%,"$8,625 ","73,264",34,,20,
35,35,,,25,Black,,Yes,2025 Hyundai Elantra SE,4D Sedan,H7351,KMHLL4DG3SU093445,6,Serenity White,Gray Cloth,FWD,I4,CVT,"$21,765 ","$24,231 ",114%,"$19,050 ","$1,845 ","$20,098 ","$23,182 ",,"($1,667)",1/20/2026,105%,164,,9 of 9,9 of 9,"$20,098 ",6,35,"1,150",1,0.10%,"$20,098 ",6,35,,,
31,31,,,25,Black,,Yes,2025 Hyundai Elantra SE,4D Sedan,H7305,KMHLL4DG3SU093056,11,Ecotronic Gray,Gray Cloth,FWD,I4,CVT,"$21,256 ","$23,711 ",111%,"$19,050 ","$1,336 ","$20,161 ","$23,672 ",,"($1,095)",12/10/2025,106%,164,,9 of 9,9 of 9,"$20,161 ",11,31,222,0,0.00%,"$20,161 ",,31,,,
32,32,,,27,Black,,Yes,2018 Jeep Grand Cherokee Limited,4D Sport Utility,HT7422A,1C4RJFBGXJC119126,"70,210",Velvet Red Pearlcoat,Black Leather,4WD,3.6L V6 24V VVT,8-Speed Automatic,"$17,976 ","$14,950 ",94%,"$13,550 ","$1,676 ","$19,612 ","$19,844 ",,"$1,636 ",1/20/2026,104%,70,90,28 of 31,22 of 31,"$19,612 ","70,210",32,"2,974",7,0.20%,"$19,612 ","70,210",32,,16,
1,1,,,28,Black,,Yes,2021 Hyundai Tucson Ultimate,4D Sport Utility,H7370A,KM8J3CAL4MU383781,"55,362",Magnetic Force,Black Leather,AWD,2.4L I4 DGI DOHC 16V,6-Speed Automatic with Shiftronic,"$17,500 ","$17,500 ",86%,"$16,100 ",($320),"$22,570 ","$19,662 ",,"$5,070 ",1/16/2026,112%,62,99,7 of 8,8 of 8,"$22,570 ","55,362",1,60,1,1.70%,"$22,570 ","55,362",1,,,
31,31,,,31,Black,,Yes,2021 Nissan Rogue Platinum,4D Sport Utility,HU5139A,JN8AT3DC6MW104727,"54,651",Boulder Gray Pearl/Super Black,Charcoal Leather,FWD,2.5L I4 DOHC 16V,CVT with Xtronic,"$19,667 ","$18,250 ",84%,"$17,550 ",$487 ,"$21,474 ","$22,785 ",,"$1,807 ",1/20/2026,92%,71,83,3 of 9,1 of 9,"$21,474 ","54,651",31,849,5,0.60%,"$21,474 ","54,651",31,,16,
25,25,,,31,Black,Open Recall,Yes,2010 Chevrolet Camaro SS 1SS,2D Coupe,HU5180A,2G1FS1EW1A9134085,"44,333",Cyber Gray Metallic,Black Cloth,RWD,6.2L V8 SFI,6-Speed Manual,"$17,939 ","$11,425 ",,"$11,650 ",$9 ,"$23,215 ","$23,215 ",,"$5,276 ",12/29/2025,,33,36,4 of 5,5 of 5,"$23,215 ","44,333",25,"1,833",47,2.60%,"$23,215 ","44,333",25,,67,
